C1_315080600H_000073,澎湖縣,白沙鄉,澎湖縣白沙鄉中屯村,119.6058,23.6204
C1_315080600H_000077,澎湖縣,白沙鄉,澎湖縣白沙鄉通樑村149號,119.55721,23.65679
C1_315080600H_000081,澎湖縣,白沙鄉,澎湖縣白沙鄉通西嶼鄉橋樑,119.54639,23.64831
C1_315080600H_000085,澎湖縣,西嶼鄉,澎湖縣西嶼鄉小門村,119.52092,23.65114
C1_315080600H_000093,澎湖縣,西嶼鄉,澎湖縣西嶼鄉二崁傳統聚落保存區,119.51885,23.6045
C1_315080600H_000101,澎湖縣,西嶼鄉,澎湖縣西嶼鄉西嶼西臺,119.48963,23.56444
C1_315080600H_000105,澎湖縣,西嶼鄉,澎湖縣西嶼鄉外垵村35鄰195號,119.46905,23.56254
C1_315080600H_000109,澎湖縣,馬公市,澎湖縣馬公市桶盤里桶盤地質公園,,
C1_315080600H_000113,澎湖縣,馬公市,澎湖縣馬公市虎井嶼,,
C1_315080600H_000117,澎湖縣,望安鄉,澎湖縣望安鄉鴛鴦窟、藏軍洞,119.50047,23.35742
C1_315080600H_000125,澎湖縣,望安鄉,澎湖縣望安鄉網垵口沙灘,119.50316,23.35598
C1_315080600H_000129,澎湖縣,望安鄉,澎湖縣望安鄉東安村1號之4,119.50692,23.36496
C1_315080600H_000133,澎湖縣,望安鄉,澎湖縣望安鄉花宅聚落(中社村),119.49601,23.37013
C1_315080600H_000137,澎湖縣,,澎湖縣七美鄉雙心石滬,119.44697,23.22022
C1_315080600H_000141,澎湖縣,七美鄉,澎湖縣七美鄉大獅風景區,119.43535,23.20079
C1_315080600H_000145,澎湖縣,七美鄉,澎湖縣七美鄉海豐村,119.43534,23.20878
C1_315080600H_000149,澎湖縣,七美鄉,澎湖縣七美鄉東湖村,119.44357,23.20843
C1_315080600H_000153,澎湖縣,七美鄉,澎湖縣七美鄉鯉灣遊憩區,119.42968,23.1969
C1_315080600H_000157,澎湖縣,七美鄉,澎湖縣七美鄉望夫石,119.4301,23.18745
C1_315080600H_000161,澎湖縣,七美鄉,澎湖縣七美鄉南港村一鄰1-4號,119.42519,23.196
C1_315080600H_000169,澎湖縣,湖西鄉,澎湖縣湖西鄉青螺溼地,119.64715,23.59918
C1_315080600H_000173,澎湖縣,西嶼鄉,澎湖縣西嶼鄉內垵村,119.50717,23.56843
C1_315080600H_000177,澎湖縣,馬公市,澎湖縣馬公市蛇頭山,119.54731,23.551
C1_315080600H_000181,澎湖縣,白沙鄉,澎湖縣白沙鄉小白沙嶼,119.66664,23.67845
C1_315080600H_000185,澎湖縣,白沙鄉,澎湖縣白沙鄉鳥嶼,,
C1_315080600H_000189,澎湖縣,望安鄉,澎湖縣望安鄉將軍澳嶼,119.52769,23.36662
C1_315080600H_000193,澎湖縣,七美鄉,澎湖縣七美鄉龍埕,119.43753,23.20174
C1_315080600H_000197,澎湖縣,馬公市,澎湖縣馬公市中央街1 巷11號,119.56414,23.5645
C1_315080600H_000201,澎湖縣,馬公市,澎湖縣馬公市中央街1巷10號,119.56423,23.56457
C1_315080600H_000205,澎湖縣,馬公市,澎湖縣馬公市中山路(馬公商港旁),119.56226,23.56307
C1_315080600H_000221,澎湖縣,湖西鄉,澎湖縣湖西鄉隘門村126-5號,119.6297,23.56062
C1_315080600H_000225,澎湖縣,馬公市,澎湖縣馬公市光華里171號,119.60659,23.55639
