C1_315080800H_000201,每日08:00-18:00,,,歷史古蹟
C1_315080800H_000202,每日08:30-17:00，週一公休、週日公休,,30元,歷史古蹟
C1_315080800H_000203,,,,自然之旅 
C1_315080800H_000204,,,,歷史古蹟
C1_315080800H_000205,每日08:00-17:30,,,花園農場
C1_315080800H_000206,每日08:00-17:30,,,休閒娛樂
C1_315080800H_000207,每日08:00-17:30,,,休閒娛樂
C1_315080800H_000208,每日08:00-17:30,,,休閒娛樂
C1_315080800H_000209,,,,休閒娛樂
C1_315080800H_000210,每日08:00-17:30,,,休閒娛樂
C1_315080800H_000211,,,,教育資源
C1_315080800H_000212,,,,歷史古蹟
C1_315080900H_000007,,,免費,休閒娛樂
C1_315080900H_000019,每日08:30-18:30，週六公休、週日公休,,,休閒娛樂
C1_315080900H_000052,每日,,,戶外運動
C1_315080900H_000180,每日07:30-17:30,,,休閒娛樂
C1_315080900H_000182,每日09:00-18:00,,免費,休閒娛樂
C1_315080900H_000183,每日5:30-21:30,,,歷史古蹟
C1_315080900H_000184,每日09:00-21:00,,,休閒娛樂
C1_315080900H_000187,每日12:00~20:00 ,,,休閒娛樂
C1_315080900H_000188,每日,,,休閒娛樂
C1_315080900H_000190,每日09:00-18:00,,,公園綠地
C1_315080900H_000191,每日,,,公園綠地
C1_315080900H_000192,每日,,,公園綠地
C1_315080900H_000193,每日,,,自然之旅
C1_315080900H_000194,每日08:00-17:00,,,自然之旅
C1_315080900H_000196,每日,,,自然之旅
C1_315080900H_000197,每日,,,自然之旅
C1_315080900H_000198,每日,,,自然之旅
C1_315080900H_000199,每日,,,自然之旅
C1_315080900H_000201,每日11:00-22:00,,,觀光商圈
C1_315080900H_000202,每日07:00-17:30,,,自然之旅
C1_315080900H_000203,每日,,,自然之旅
C1_315080900H_000205,每日,,,休閒娛樂
C1_315080900H_000206,每日07:00-17:30,,,自然之旅
C1_315080900H_000207,每日07:00-17:30,,,自然之旅
C1_315080900H_000208,每日,,,自然之旅
C1_315080900H_000209,每日6:00-21:00,,,歷史古蹟
C1_315080900H_000210,每日,,,歷史古蹟
C1_315080900H_000212,每日,,,休閒娛樂
C1_315080900H_000213,每日,,,自然之旅
C1_315080900H_000214,每日09:00-18:00,,,休閒娛樂
C1_315080900H_000220,每日,,,自然之旅
C1_315080900H_000223,每日,,,休閒娛樂
C1_315080900H_000225,每日,,,歷史古蹟
C1_315080900H_000226,每日,,,自然之旅
C1_315080900H_000227,每日7:30-17:30,,,休閒娛樂
C1_315080900H_000228,每日,,,自然之旅
C1_315080900H_000235,每日,,,自然之旅
C1_315080900H_000236,每日,,,自然之旅
C1_315080900H_000238,每日08:00-17:30，週二公休,,,自然之旅
C1_315080900H_000240,每日,,,自然之旅
C1_315080900H_000241,每日08:00-16:50,,,特色館區
C1_315080900H_000244,每日,,,自然之旅
C1_315080900H_000245,每日,,,休閒娛樂
C1_315080900H_000317,每日,,,休閒娛樂
C1_315081000H_000001,每日,,,休閒娛樂
C1_315081000H_000002,每日08:00-17:30,,,休閒娛樂
C1_315081000H_000003,,,,歷史古蹟
C1_315081000H_000005,每日08:00-17:30,,,休閒娛樂
C1_315081000H_000006,,,,歷史古蹟
C1_315081000H_000007,每日,,,特色館區
C1_315081000H_000009,每日,,,公園綠地
C1_315081000H_000011,每日09:00-17:00，週一公休,,,特色館區
C1_315081000H_000023,每日,,,歷史古蹟
C1_315081000H_000026,每日,,,歷史古蹟
C1_315081000H_000027,每日08:00-18:00,,,歷史古蹟
C1_315081000H_000028,每日,,,公園綠地
C1_315081000H_000030,每日,,,歷史古蹟
C1_315081000H_000031,每日,,,自然之旅
C1_315081000H_000032,每日,,,公園綠地
C1_315081000H_000033,每日,,,特色館區
C1_315081000H_000036,每日,,,戶外運動
C1_315081000H_000037,每日,,,戶外運動
